Date,Close/Last,Volume,Open,High,Low
10/10/2023,$120.39,5705550,$121.25,$122.235,$120.19
10/09/2023,$121.82,6532807,$118.96,$121.87,$118.75
10/06/2023,$115.33,4209663,$114.38,$116.59,$113.16
10/05/2023,$113.42,4070087,$112.51,$114.58,$112.19
10/04/2023,$113.33,7287593,$115.32,$115.63,$111.67
10/03/2023,$117.60,4162818,$116.76,$117.67,$116.07
10/02/2023,$117.10,4769473,$120.24,$120.305,$115.96
09/29/2023,$119.80,5308920,$122.48,$122.61,$119.64
09/28/2023,$122.72,3964642,$122.86,$124.305,$122.18
09/27/2023,$123.09,5364088,$121.715,$123.92,$120.80
09/26/2023,$120.14,5204548,$119.80,$121.44,$119.34
09/25/2023,$121.07,3291260,$119.29,$121.265,$118.89
09/22/2023,$119.16,3641227,$119.92,$121.18,$119.04
09/21/2023,$119.07,4470852,$122.03,$122.16,$118.75
09/20/2023,$121.17,3444949,$122.63,$123.81,$121.055
09/19/2023,$123.16,4193297,$125.84,$126.03,$122.18
09/18/2023,$124.48,4945258,$125.18,$125.73,$124.07
09/15/2023,$123.57,12440960,$124.05,$125.99,$123.19
09/14/2023,$124.50,4686211,$123.50,$124.89,$123.44
09/13/2023,$122.31,3879694,$123.48,$123.70,$121.47
09/12/2023,$123.08,4486691,$121.25,$123.44,$121.20
09/11/2023,$120.44,4294523,$123.44,$123.90,$119.82
09/08/2023,$122.72,4368399,$122.76,$124.01,$122.45
09/07/2023,$121.71,3504089,$122.99,$123.68,$121.61
09/06/2023,$123.07,4664053,$122.47,$123.44,$121.92
09/05/2023,$122.83,5785711,$122.77,$124.99,$122.56
09/01/2023,$122.14,6398268,$120.00,$122.50,$119.97
08/31/2023,$119.03,4395692,$119.17,$119.56,$118.10
08/30/2023,$118.70,2847501,$118.27,$118.94,$118.01
08/29/2023,$117.66,3213683,$117.86,$118.10,$116.58
08/28/2023,$117.52,2821634,$116.48,$118.40,$116.42
08/25/2023,$116.52,3710368,$115.69,$117.13,$114.76
08/24/2023,$114.80,3538524,$115.19,$116.3837,$114.74
08/23/2023,$115.81,3136727,$115.01,$116.34,$113.86
08/22/2023,$116.15,3195938,$117.59,$117.74,$116.08
08/21/2023,$117.21,3271628,$118.14,$119.11,$116.535
08/18/2023,$117.29,4267613,$115.84,$118.03,$115.65
08/17/2023,$116.73,4044801,$116.50,$117.8781,$116.22
08/16/2023,$114.64,3767199,$115.75,$116.91,$114.56
08/15/2023,$115.51,4214904,$116.50,$116.85,$114.9708
08/14/2023,$117.69,4252439,$117.17,$117.78,$116.30
08/11/2023,$117.81,3771611,$115.98,$118.05,$115.47
08/10/2023,$115.83,3589283,$116.29,$117.59,$115.16
